UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[Mozilla/5.0 (Windows; U; Win95; *; rv:*) Gecko/???????? Mozilla Firebird/0.6],Firebird,,,,,Win95,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; Win98; *; rv:*) Gecko/???????? Firebird Browser/0.6],Firebird,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; Win98; *; rv:*) Gecko/???????? Mozilla Firebird/0.6],Firebird,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; Windows NT 5.0; *; rv:*) Gecko/???????? Firebird Browser/0.6],Firebird,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; Windows NT 5.0; *; rv:*) Gecko/???????? Mozilla Firebird/0.6],Firebird,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; Windows NT 5.1; *; rv:*) Gecko/???????? Firebird Browser/0.6],Firebird,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; Windows NT 5.1; *; rv:*) Gecko/???????? Mozilla Firebird/0.6],Firebird,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; U; WinNT4.0; *; rv:*) Gecko/???????? Firebird Browser/0.6],Firebird,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; U; Linux*; *; rv:*) Gecko/???????? Firebird Browser/0.6],Firebird,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; U; Linux*; *; rv:*) Gecko/???????? Mozilla Firebird/0.6],Firebird,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
